"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)","WHEAT IRRIGATED AREA (1000 ha)","KHARIF SORGHUM IRRIGATED AREA (1000 ha)","RABI SORGHUM IRRIGATED AREA (1000 ha)","SORGHUM IRRIGATED AREA (1000 ha)","PEARL MILLET IRRIGATED AREA (1000 ha)","MAIZE IRRIGATED AREA (1000 ha)","FINGER MILLET IRRIGATED AREA (1000 ha)","BARLEY IRRIGATED AREA (1000 ha)","CHICKPEA IRRIGATED AREA (1000 ha)","PIGEONPEA IRRIGATED AREA (1000 ha)","MINOR PULSES IRRIGATED AREA (1000 ha)","PULSES IRRIGATED AREA (1000 ha)","GROUNDNUT IRRIGATED AREA (1000 ha)","SESAMUM IRRIGATED AREA (1000 ha)","LINSEED IRRIGATED AREA (1000 ha)","SUGARCANE IRRIGATED AREA (1000 ha)","COTTON IRRIGATED AREA (1000 ha)","FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha)","FODDER IRRIGATED AREA (1000 ha)"
"121","1966","3","Gujarat","Ahmedabad","29.9","24.4","0.1","0.0","0.1","0.2","0.0","0.0","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","15.9","-1.0","2.21"
"121","1967","3","Gujarat","Ahmedabad","39.1","21.5","1.4","0.4","1.8","0.3","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","15.2","-1.0","3.31"
"121","1968","3","Gujarat","Ahmedabad","29.3","23.8","0.3","0.2","0.5","1.6","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","14.4","-1.0","2.06"
"121","1969","3","Gujarat","Ahmedabad","24.2","26.2","0.0","0.1","0.1","5.0","0.0","0.0","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","22.2","-1.0","2.24"
"121","1970","3","Gujarat","Ahmedabad","40.4","23.0","0.0","0.1","0.1","3.0","0.0","0.0","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","19.1","3.8","2.61"
"121","1971","3","Gujarat","Ahmedabad","35.2","22.5","0.0","0.0","0.0","1.7","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","33.0","4.4","3.17"
"121","1972","3","Gujarat","Ahmedabad","22.3","25.8","0.1","1.2","1.3","16.2","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","32.9","4.0","2.0"
"121","1973","3","Gujarat","Ahmedabad","25.3","36.5","0.0","0.2","0.2","6.5","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","21.3","7.6","4.21"
"121","1974","3","Gujarat","Ahmedabad","12.1","33.8","1.5","0.5","2.0","3.7","0.0","0.0","1.4","0.0","0.0","0.1","0.1","0.0","0.0","0.0","1.0","25.6","6.7","5.7"
"121","1975","3","Gujarat","Ahmedabad","30.7","29.0","0.5","0.6","1.1","2.6","0.0","0.0","1.4","0.0","0.0","0.1","0.1","0.0","0.0","0.0","1.1","17.2","6.1","5.13"
"121","1976","3","Gujarat","Ahmedabad","37.3","24.3","0.0","0.8","0.8","2.3","0.0","0.0","1.1","0.0","0.0","0.1","0.1","0.0","0.0","0.0","1.3","14.2","8.2","5.41"
"121","1977","3","Gujarat","Ahmedabad","43.8","25.3","0.1","0.0","0.1","2.9","0.0","0.0","0.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","17.4","6.4","5.42"
"121","1978","3","Gujarat","Ahmedabad","46.5","24.6","0.0","0.2","0.2","2.8","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","16.1","7.0","6.1"
"121","1979","3","Gujarat","Ahmedabad","48.2","25.7","0.0","0.0","0.0","3.2","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","11.7","7.3","4.53"
"121","1980","3","Gujarat","Ahmedabad","54.3","22.0","0.1","0.0","0.1","6.7","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","10.5","8.3","4.73"
"121","1981","3","Gujarat","Ahmedabad","54.6","25.8","0.0","0.1","0.1","4.7","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.1","0.0","0.0","2.0","11.9","9.6","8.76"
"121","1982","3","Gujarat","Ahmedabad","49.7","26.5","0.0","0.0","0.0","6.3","0.0","0.0","1.1","0.0","0.0","0.0","0.0","0.2","0.0","0.0","2.0","11.3","9.3","7.8"
"121","1983","3","Gujarat","Ahmedabad","72.9","27.0","0.0","0.0","0.0","4.3","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.9","9.4","7.3","7.22"
"121","1984","3","Gujarat","Ahmedabad","72.9","25.3","0.0","0.0","0.0","5.4","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.7","9.0","8.0","5.46"
"121","1985","3","Gujarat","Ahmedabad","60.4","29.3","0.0","0.0","0.0","6.1","0.6","0.0","1.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.4","11.3","8.3","9.1"
"121","1986","3","Gujarat","Ahmedabad","42.7","36.5","0.0","0.0","0.0","5.6","0.6","0.0","0.7","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.4","11.7","9.3","13.81"
"121","1987","3","Gujarat","Ahmedabad","24.2","29.5","0.0","0.1","0.1","6.9","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","10.5","7.0","15.81"
"121","1988","3","Gujarat","Ahmedabad","64.1","32.0","0.0","0.2","0.2","11.0","0.0","0.0","1.3","0.2","0.0","0.0","0.2","0.0","0.0","0.0","0.4","16.3","6.8","15.31"
"121","1989","3","Gujarat","Ahmedabad","65.7","30.8","0.0","0.0","0.0","12.1","0.1","0.0","1.0","0.2","0.0","0.0","0.2","0.1","0.0","0.0","0.5","11.0","8.8","15.68"
"121","1990","3","Gujarat","Ahmedabad","63.26","35.04","0.0","0.0","0.0","8.21","0.0","0.0","1.4","0.0","0.18","0.0","0.18","0.4","0.06","0.0","0.4","12.38","9.23","0.0"
"121","1991","3","Gujarat","Ahmedabad","75.75","33.21","0.0","0.0","0.0","12.72","0.16","0.0","0.98","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.6","11.52","11.27","0.0"
"121","1992","3","Gujarat","Ahmedabad","71.94","37.82","0.0","0.0","0.0","7.92","0.16","0.0","0.72","0.0","0.0","0.0","0.0","0.06","0.0","0.0","0.7","9.12","12.61","17.68"
"121","1993","3","Gujarat","Ahmedabad","75.43","39.78","0.0","0.0","0.0","6.74","0.0","0.0","0.86","0.0","0.0","0.0","0.0","0.06","0.0","0.0","0.7","15.3","11.8","0.0"
"121","1994","3","Gujarat","Ahmedabad","88.33","44.78","0.0","0.0","0.0","9.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","96.65"
"121","1995","3","Gujarat","Ahmedabad","79.93","41.17","0.0","0.0","0.0","10.52","0.06","0.0","0.86","0.0","0.0","0.0","0.0","0.12","0.0","0.0","0.7","12.16","13.18","0.14"
"121","1996","3","Gujarat","Ahmedabad","81.26","40.61","0.0","0.0","0.0","11.44","0.0","0.0","0.86","0.0","0.0","0.0","0.0","0.06","0.0","0.0","0.6","13.52","0.0","0.17"
"121","1997","3","Gujarat","Ahmedabad","78.76","45.85","0.0","0.0","0.0","10.71","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"121","1998","3","Gujarat","Ahmedabad","80.64","44.31","0.0","0.0","0.0","10.77","0.0","0.0","0.9","0.06","0.0","0.0","0.06","0.22","0.3","0.0","0.7","16.49","18.11","13.48"
"121","1999","3","Gujarat","Ahmedabad","82.33","46.97","0.0","0.0","0.0","10.26","0.3","0.0","0.79","0.0","0.0","0.0","0.0","0.16","0.0","0.0","0.7","16.87","19.88","10.28"
"121","2000","3","Gujarat","Ahmedabad","90.77","40.29","0.0","0.0","0.0","12.47","0.12","0.0","0.75","0.3","0.0","0.06","0.36","0.24","0.2","26.09","0.6","26.47","17.64","16.09"
"121","2001","3","Gujarat","Ahmedabad","83.22","41.43","0.0","0.0","0.0","11.99","0.22","0.0","0.79","0.2","0.0","0.18","0.38","0.28","0.1","0.0","0.6","18.35","17.76","16.66"
"121","2002","3","Gujarat","Ahmedabad","75.11","49.56","0.0","0.0","0.0","9.77","0.22","0.0","0.77","0.2","0.0","0.12","0.32","0.53","0.0","0.0","0.3","19.97","18.51","16.9"
"121","2003","3","Gujarat","Ahmedabad","90.14","62.3","0.0","0.0","0.0","5.89","0.28","0.0","0.46","0.12","0.0","0.56","0.68","0.18","0.0","0.0","0.2","34.95","18.25","17.47"
"121","2004","3","Gujarat","Ahmedabad","86.82","91.07","0.0","0.24","0.24","5.2","0.18","0.0","0.36","0.62","0.0","0.36","0.98","0.0","0.0","0.0","0.1","41.81","17.46","14.1"
"121","2005","3","Gujarat","Ahmedabad","99.93","92.86","0.0","0.12","0.12","6.78","0.06","0.0","0.78","2.72","0.0","0.32","3.04","0.24","0.0","0.0","0.2","42.78","17.87","18.59"
"121","2006","3","Gujarat","Ahmedabad","106.45","94.63","1.83","0.0","1.83","6.34","0.0","0.0","0.26","3.1","0.06","0.06","3.22","0.41","0.0","0.0","0.1","46.45","18.09","19.57"
"121","2007","3","Gujarat","Ahmedabad","116.67","116.31","1.89","0.0","1.89","6.21","0.0","0.0","0.16","0.62","0.0","0.06","0.68","0.34","0.0","0.0","0.1","46.2","18.44","17.57"
"121","2008","3","Gujarat","Ahmedabad","100.35","105.43","0.0","0.0","0.0","7.06","0.0","0.0","0.0","1.32","0.0","0.56","1.88","1.79","0.1","0.0","0.1","51.85","21.97","29.23"
"121","2009","3","Gujarat","Ahmedabad","92.49","100.07","1.36","0.0","1.36","7.17","0.06","0.0","0.0","1.1","0.0","0.57","1.67","4.01","0.39","0.0","0.1","50.06","38.9","75.86"
"121","2010","3","Gujarat","Ahmedabad","96.21","103.73","0.0","0.0","0.0","5.49","0.65","0.0","0.1","0.62","0.0","0.18","0.79","2.54","0.0","0.0","0.1","18.29","21.75","0.0"
"121","2011","3","Gujarat","Ahmedabad","123.71","131.31","2.42","9.24","11.6","15.58","0.06","0.0","0.0","0.4","0.06","2.07","2.59","0.79","1.28","0.0","0.0","62.73","24.82","0.0"
"121","2014","3","Gujarat","Ahmedabad","126.35","158.06","0.0","0.0","0.0","7.92","0.0","0.0","0.0","0.34","0.0","0.64","0.97","0.12","0.1","0.0","0.0","58.96","23.45","58.62"
"121","2015","3","Gujarat","Ahmedabad","124.67","125.62","0.0","0.12","0.12","5.67","0.0","0.0","0.0","0.17","0.14","1.05","1.36","1.36","0.19","0.0","0.0","76.14","25.33","0.0"
"121","2016","3","Gujarat","Ahmedabad","153.23","130.5","0.0","0.0","0.0","4.47","0.1","0.0","0.0","0.45","0.54","2.65","3.7","0.86","0.79","0.0","0.0","77.65","23.7","0.0"
"121","2017","3","Gujarat","Ahmedabad","157.7","122.98","0.0","0.06","0.06","4.75","1.2","0.0","0.0","10.64","0.17","0.66","11.48","2.28","0.04","0.0","0.1","88.08","25.56","0.0"
"122","1966","3","Gujarat","Amreli","2.1","11.0","0.0","2.6","2.6","0.0","0.1","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.6","0.8","-1.0","8.01"
"122","1967","3","Gujarat","Amreli","2.7","13.5","0.0","0.7","0.7","0.0","0.3","0.0","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0","6.0","1.4","-1.0","5.2"
"122","1968","3","Gujarat","Amreli","2.6","16.0","0.0","0.8","0.8","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","8.1","4.2","-1.0","3.4"
"122","1969","3","Gujarat","Amreli","3.4","12.4","0.0","0.6","0.6","0.1","0.2","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","8.2","11.2","-1.0","3.2"
"122","1970","3","Gujarat","Amreli","2.9","22.4","0.0","3.0","3.0","0.2","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","6.7","8.0","1.2","3.5"
"122","1971","3","Gujarat","Amreli","2.4","19.4","0.0","0.3","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.8","18.8","1.3","4.6"
"122","1972","3","Gujarat","Amreli","2.0","14.2","0.0","0.3","0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","7.9","18.6","0.9","4.9"
"122","1973","3","Gujarat","Amreli","1.3","12.1","0.0","0.1","0.1","0.1","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.8","22.3","1.2","4.0"
"122","1974","3","Gujarat","Amreli","0.9","7.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.9","16.7","1.2","3.7"
"122","1975","3","Gujarat","Amreli","1.2","8.2","0.0","0.3","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.4","14.5","1.1","2.6"
"122","1976","3","Gujarat","Amreli","0.9","12.1","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","6.3","11.8","1.3","2.2"
"122","1977","3","Gujarat","Amreli","0.8","13.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","7.6","13.4","1.2","3.0"
"122","1978","3","Gujarat","Amreli","0.7","11.1","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","7.1","12.2","1.2","2.9"
"122","1979","3","Gujarat","Amreli","0.7","30.7","0.0","1.1","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4","0.0","0.0","6.9","14.3","1.4","4.2"
"122","1980","3","Gujarat","Amreli","0.8","28.1","0.0","0.3","0.3","0.1","0.0","0.0","0.0","0.4","0.0","0.2","0.6","9.1","0.0","0.0","8.3","17.5","1.2","3.4"
"122","1981","3","Gujarat","Amreli","0.7","29.6","0.0","0.5","0.5","0.0","0.0","0.0","0.0","1.3","0.0","0.1","1.4","10.5","0.0","0.0","8.6","16.4","1.2","3.8"
"122","1982","3","Gujarat","Amreli","0.7","39.1","0.0","3.6","3.6","0.0","0.0","0.0","0.0","2.2","0.0","0.1","2.3","10.5","0.0","0.0","8.5","13.5","1.2","3.6"
"122","1983","3","Gujarat","Amreli","0.7","47.2","0.0","0.7","0.7","0.0","0.0","0.0","0.0","0.9","0.0","0.2","1.1","10.7","0.0","0.0","8.4","13.2","0.9","4.1"
"122","1984","3","Gujarat","Amreli","0.6","23.5","0.0","0.3","0.3","0.0","0.0","0.0","0.0","1.0","0.0","0.4","1.4","4.6","0.0","0.0","8.3","10.2","1.2","3.9"
"122","1985","3","Gujarat","Amreli","0.4","12.1","0.0","0.2","0.2","0.0","0.7","0.0","0.0","0.3","0.0","0.4","0.7","1.6","0.0","0.0","7.5","8.6","1.1","3.4"
"122","1986","3","Gujarat","Amreli","0.2","7.1","0.0","0.4","0.4","0.1","0.4","0.0","0.0","0.2","0.0","0.4","0.6","2.2","0.0","0.0","6.3","13.7","1.7","2.5"
"122","1987","3","Gujarat","Amreli","0.1","4.5","0.0","1.8","1.8","0.0","0.2","0.0","0.0","0.1","0.0","0.0","0.1","1.8","0.0","0.0","4.5","9.2","1.7","2.7"
"122","1988","3","Gujarat","Amreli","0.2","21.3","0.0","0.5","0.5","0.1","0.0","0.0","0.0","0.7","0.0","0.1","0.8","5.6","0.0","0.0","4.5","14.0","4.7","4.7"
"122","1989","3","Gujarat","Amreli","0.1","16.5","0.0","0.3","0.3","0.1","0.0","0.0","0.0","0.8","0.0","0.1","0.9","5.7","0.0","0.0","6.3","16.0","2.0","4.2"
"122","1990","3","Gujarat","Amreli","0.1","20.7","0.0","0.0","0.3","0.4","0.2","0.0","0.0","1.2","0.0","0.1","1.3","10.6","0.0","0.0","6.5","13.4","2.6","0.0"
"122","1991","3","Gujarat","Amreli","0.1","13.1","0.0","0.0","0.2","0.6","0.0","0.0","0.0","0.4","0.0","0.0","0.4","10.3","0.0","0.0","6.1","18.0","2.2","0.0"
"122","1992","3","Gujarat","Amreli","0.1","21.1","0.0","0.0","0.2","0.7","0.0","0.0","0.0","1.0","0.0","0.0","1.0","10.1","0.0","0.0","6.1","16.6","2.6","4.8"
"122","1993","3","Gujarat","Amreli","0.1","16.0","0.0","0.0","0.0","0.9","0.0","0.0","0.0","3.1","0.0","0.1","3.2","7.1","0.0","0.0","5.2","16.9","3.1","0.0"
"122","1994","3","Gujarat","Amreli","0.0","35.4","0.0","0.0","1.1","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.76"
"122","1995","3","Gujarat","Amreli","0.1","21.6","0.0","0.0","0.0","1.4","0.0","0.0","0.0","2.0","0.1","0.2","2.3","9.6","0.0","0.0","7.4","38.0","3.1","0.04"
"122","1996","3","Gujarat","Amreli","0.0","26.2","0.0","0.0","0.2","0.7","0.0","0.0","0.0","8.6","0.2","0.1","8.9","9.0","0.0","0.0","5.8","48.6","0.0","0.05"
"122","1997","3","Gujarat","Amreli","0.0","16.4","0.0","0.0","0.3","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"122","1998","3","Gujarat","Amreli","0.0","17.9","0.0","0.2","0.2","0.6","0.1","0.0","0.0","1.8","0.2","0.0","2.0","7.1","0.0","0.0","5.2","44.7","4.2","4.8"
"122","1999","3","Gujarat","Amreli","0.1","8.2","0.0","1.3","1.3","1.5","0.0","0.0","0.0","0.9","0.7","0.0","1.6","3.3","0.0","0.0","5.9","46.7","4.4","6.4"
"122","2000","3","Gujarat","Amreli","0.0","3.9","0.0","0.2","0.2","0.1","0.0","0.0","0.0","0.3","0.4","0.0","0.7","1.6","0.0","4.3","0.1","57.6","2.8","3.8"
"122","2001","3","Gujarat","Amreli","0.0","5.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.5","0.2","1.3","5.5","0.0","0.0","0.2","76.3","3.5","1.9"
"122","2002","3","Gujarat","Amreli","0.0","6.5","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.9","0.5","0.0","1.4","7.2","0.0","0.0","0.1","85.7","3.5","4.8"
"122","2003","3","Gujarat","Amreli","0.0","11.4","0.0","0.0","0.0","0.1","0.0","0.0","0.0","2.8","0.6","0.0","3.4","17.8","0.0","0.0","0.2","64.5","7.3","4.4"
"122","2004","3","Gujarat","Amreli","0.0","19.1","0.0","0.0","0.0","0.3","0.0","0.0","0.0","2.3","0.8","0.1","3.2","0.0","0.0","0.0","0.1","77.1","8.5","7.1"
"122","2005","3","Gujarat","Amreli","0.0","27.3","0.0","0.0","0.0","0.7","0.0","0.0","0.0","2.0","0.2","0.1","2.3","8.1","0.0","0.0","0.1","78.0","7.8","4.0"
"122","2006","3","Gujarat","Amreli","0.0","26.3","0.0","0.0","0.0","1.4","0.0","0.0","0.0","3.6","0.0","0.1","3.7","13.7","2.5","0.0","0.2","143.2","5.9","3.6"
"122","2007","3","Gujarat","Amreli","0.0","28.7","0.0","0.0","0.0","1.9","0.0","0.0","0.0","4.5","0.0","0.1","4.6","5.1","0.4","0.0","0.3","103.8","10.5","4.0"
"122","2008","3","Gujarat","Amreli","0.0","33.2","0.0","0.0","0.0","1.4","0.0","0.0","0.0","3.2","0.0","0.2","3.4","6.4","2.6","0.0","0.4","97.1","6.6","7.8"
"122","2009","3","Gujarat","Amreli","0.7","10.3","0.0","0.3","0.3","0.4","0.0","0.0","0.0","2.7","0.0","0.2","2.9","5.0","0.4","0.0","0.1","105.5","16.3","10.0"
"122","2010","3","Gujarat","Amreli","0.0","10.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","0.0","0.1","4.6","0.0","0.0","0.0","0.3","105.0","10.5","0.0"
"122","2011","3","Gujarat","Amreli","0.0","22.2","0.0","0.0","0.0","2.3","0.0","0.0","0.0","1.6","0.0","1.1","2.6","10.0","0.6","0.0","0.1","142.2","5.6","0.0"
"122","2014","3","Gujarat","Amreli","0.0","13.9","0.0","0.0","0.0","1.3","0.0","0.0","0.0","2.3","0.3","0.3","2.9","3.7","3.1","0.0","0.4","170.1","8.4","8.8"
"122","2015","3","Gujarat","Amreli","0.0","7.5","0.0","0.0","0.0","1.1","0.0","0.0","0.0","2.1","0.2","0.4","2.6","14.7","0.7","0.0","0.2","162.7","10.8","0.0"
"122","2016","3","Gujarat","Amreli","0.0","12.4","0.0","0.1","0.1","0.9","0.3","0.0","0.0","2.7","2.0","1.0","5.7","93.0","2.4","0.0","0.1","77.8","15.9","0.0"
"122","2017","3","Gujarat","Amreli","0.0","8.6","0.0","0.1","0.1","1.4","0.0","0.0","0.0","6.9","1.3","0.4","8.6","47.6","1.1","0.0","0.0","148.0","19.0","0.0"
"123","1966","3","Gujarat","Banaskantha","0.0","39.0","0.0","3.9","3.9","0.7","0.2","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.0","-1.0","2.15"
"123","1967","3","Gujarat","Banaskantha","0.6","41.4","0.0","1.8","1.8","1.2","3.7","0.0","3.5","0.2","0.0","0.0","0.2","0.0","0.0","0.0","1.4","2.0","-1.0","5.1"
"123","1968","3","Gujarat","Banaskantha","0.8","47.4","0.0","3.9","3.9","1.6","3.6","0.0","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","3.7","-1.0","7.3"
"123","1969","3","Gujarat","Banaskantha","0.3","48.7","0.0","4.0","4.0","2.7","3.8","0.0","1.6","0.0","0.0","0.1","0.1","0.0","0.0","0.0","1.4","2.8","-1.0","3.9"
"123","1970","3","Gujarat","Banaskantha","0.4","52.6","0.0","3.4","3.4","1.4","4.2","0.0","1.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","1.3","4.1","1.9","2.9"
"123","1971","3","Gujarat","Banaskantha","0.0","47.8","0.0","1.7","1.7","2.1","0.0","0.0","0.9","0.0","0.0","0.5","0.5","0.0","0.0","0.0","1.3","2.3","1.7","3.7"
"123","1972","3","Gujarat","Banaskantha","0.4","46.1","0.0","4.5","4.5","3.8","0.1","0.0","0.8","0.2","0.0","0.1","0.3","0.0","0.0","0.0","1.1","3.6","1.5","4.7"
"123","1973","3","Gujarat","Banaskantha","0.2","42.5","0.0","6.3","6.3","7.6","0.3","0.0","2.2","0.0","0.0","0.8","0.8","0.0","0.0","0.0","1.3","5.8","2.0","3.9"
"123","1974","3","Gujarat","Banaskantha","0.0","40.4","0.0","6.8","6.8","6.7","0.8","0.0","3.1","0.6","0.0","0.1","0.7","0.0","0.0","0.0","1.4","3.1","4.7","4.4"
"123","1975","3","Gujarat","Banaskantha","0.0","43.5","2.3","5.2","7.5","11.5","2.3","0.0","6.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0","1.5","4.0","3.4","5.9"
"123","1976","3","Gujarat","Banaskantha","0.0","47.8","3.0","4.4","7.4","12.4","0.5","0.0","4.1","0.3","0.0","0.0","0.3","0.0","0.0","0.0","1.3","5.4","2.5","4.9"
"123","1977","3","Gujarat","Banaskantha","0.0","43.7","2.4","3.6","6.0","15.7","0.5","0.0","4.4","0.4","0.0","0.0","0.4","0.0","0.0","0.0","1.2","7.2","2.6","7.8"
"123","1978","3","Gujarat","Banaskantha","0.0","45.8","0.0","8.2","8.2","16.1","1.1","0.0","5.3","0.4","0.0","0.0","0.4","0.0","0.0","0.0","1.6","7.4","2.6","7.3"
"123","1979","3","Gujarat","Banaskantha","0.0","50.9","0.0","9.0","9.0","20.4","1.5","0.0","4.7","0.6","0.0","0.0","0.6","0.0","0.0","0.0","1.6","5.9","3.3","8.8"
"123","1980","3","Gujarat","Banaskantha","0.0","46.0","2.4","6.7","9.1","26.0","0.8","0.0","4.5","0.4","0.0","0.0","0.4","0.0","0.0","0.0","1.4","4.4","3.6","6.2"
"123","1981","3","Gujarat","Banaskantha","0.0","42.7","1.1","7.0","8.1","24.2","0.5","0.0","4.2","0.2","0.0","0.0","0.2","0.0","0.0","0.0","1.4","4.8","3.1","6.5"
"123","1982","3","Gujarat","Banaskantha","0.0","39.8","1.1","5.7","6.8","18.4","1.0","0.0","3.6","0.3","0.0","0.0","0.3","0.2","0.0","0.0","1.8","4.9","4.1","8.3"
"123","1983","3","Gujarat","Banaskantha","0.0","40.5","1.6","5.1","6.7","22.7","0.7","0.0","3.3","0.5","0.0","0.0","0.5","0.1","0.0","0.0","1.2","4.9","5.2","8.8"
"123","1984","3","Gujarat","Banaskantha","0.1","40.7","1.9","6.0","7.9","21.6","0.8","0.0","3.1","1.5","0.0","0.0","1.5","0.0","0.0","0.0","1.2","4.0","4.8","8.1"
"123","1985","3","Gujarat","Banaskantha","0.3","39.0","3.2","4.6","7.8","27.3","0.8","0.0","2.8","0.4","0.0","0.1","0.5","0.1","0.0","0.0","0.7","7.4","3.9","7.2"
"123","1986","3","Gujarat","Banaskantha","0.1","40.1","3.9","4.0","7.9","25.2","0.2","0.0","3.8","0.4","0.0","0.2","0.6","0.1","0.0","0.0","0.1","3.4","4.5","8.6"
"123","1987","3","Gujarat","Banaskantha","0.3","36.4","3.5","5.7","9.2","30.3","0.5","0.0","3.4","0.6","0.0","0.2","0.8","0.2","0.0","0.0","0.2","3.6","4.7","10.5"
"123","1988","3","Gujarat","Banaskantha","0.1","39.0","2.6","4.1","6.7","34.9","0.4","0.0","3.9","0.6","0.0","0.1","0.7","0.2","0.0","0.0","0.2","1.2","9.5","13.2"
"123","1989","3","Gujarat","Banaskantha","0.1","48.7","2.6","4.1","6.7","36.2","0.3","0.0","4.6","0.4","0.0","0.1","0.5","0.1","0.0","0.0","0.2","2.8","5.6","12.1"
"123","1990","3","Gujarat","Banaskantha","0.2","39.3","0.0","0.0","6.7","34.7","0.6","0.0","4.6","0.7","0.0","0.1","0.8","0.2","0.0","0.0","0.3","3.2","6.4","0.0"
"123","1991","3","Gujarat","Banaskantha","0.1","40.3","0.0","0.0","6.5","43.3","0.5","0.0","4.7","0.5","0.0","0.3","0.8","0.6","0.0","0.0","0.2","2.0","6.6","0.0"
"123","1992","3","Gujarat","Banaskantha","0.1","43.7","0.0","0.0","5.6","54.9","1.0","0.0","5.9","0.3","0.0","0.5","0.8","0.6","0.0","0.0","0.2","2.0","7.1","14.4"
"123","1993","3","Gujarat","Banaskantha","0.4","48.1","0.0","0.0","7.3","57.0","0.9","0.0","5.9","0.7","0.0","0.5","1.2","0.9","0.0","0.0","0.2","1.1","8.7","0.0"
"123","1994","3","Gujarat","Banaskantha","0.1","49.7","0.0","0.0","5.8","57.8","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","196.48"
"123","1995","3","Gujarat","Banaskantha","0.1","6.1","0.0","0.0","3.1","62.0","1.0","0.0","5.2","0.6","0.0","0.2","0.8","1.5","0.0","0.0","0.2","2.3","12.7","0.18"
"123","1996","3","Gujarat","Banaskantha","0.1","47.4","0.0","0.0","1.1","63.1","0.3","0.0","5.1","0.4","0.0","0.3","0.7","1.0","0.0","0.0","0.2","2.4","0.0","0.26"
"123","1997","3","Gujarat","Banaskantha","0.0","47.8","0.0","0.0","0.0","69.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
